property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 83,1.25,1600.0,4.0,4.0,3.0,High Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sohna road,0.2,750.0,2.0,2.0,1.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 109,1.75,1745.0,3.0,3.0,3.0,Mid Floor,relative new,fullyfurnished,mid,0.0,0.0,0.0,1.0,0.0
flats,sector 1,2.01,1759.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 4,3.2,2250.0,3.0,3.0,2.0,Low Floor,old property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 81,2.45,2132.0,3.0,3.0,2.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 95,0.41,662.0,2.0,2.0,2.0,High Floor,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 33,1.75,1996.0,3.0,3.0,0.0,Low Floor,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sohna road,0.26,394.0,1.0,1.0,1.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 104,1.95,2290.0,3.0,3.0,3.0,Mid Floor,new property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 108,3.75,2510.0,3.0,3.0,2.0,High Floor,new property,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 85,2.0,2408.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 108,2.28,2779.0,4.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 2,4.95,2430.0,6.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 104,0.45,370.0,4.0,4.0,2.0,Mid Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 56,1.7,1550.0,3.0,2.0,3.0,Mid Floor,old property,unfurnished,mid,0.0,0.0,1.0,0.0,0.0
flats,sector 70,1.63,1950.0,3.0,3.0,3.0,Mid Floor,new property,semifurnished,mid,0.0,1.0,0.0,0.0,1.0
